Stock,Date ,Date
MTH,1 for 3 ,1/2/1997
MTL,1 for 2 ,1/12/2016
MTW,1 for 4 ,11/20/2017
MVIS,1 for 8 ,2/21/2012
MYO,1 for 30 ,1/31/2020
MYSZ,1 for 15 ,11/19/2019
MZZ,1 for 4 ,1/24/2014
NAKD,1 for 100 ,12/20/2019
NAV,1 for 10 ,7/1/1993
NAVB,1 for 20 ,4/26/2019
NBY,1 for 25 ,12/21/2015
NCTY,1 for 3 ,5/9/2018
NEON,1 for 10 ,10/1/2018
NES,1 for 10 ,12/3/2013
NETE,1 for 10 ,10/5/2017
NEWT,1 for 5 ,10/23/2014
NGE,1 for 4 ,3/16/2017
NGG,916 for 1000 ,5/22/2017
NHF,1 for 4 ,10/6/2015
NHTC,1 for 40 ,4/6/1998
NL,1 for 10 ,12/23/1988
NLR,1 for 3 ,7/1/2013
NM,1 for 10 ,1/3/2019
NMM,1 for 15 ,5/21/2019
NNA,1 for 15 ,11/14/2018
NNVC,1 for 20 ,9/24/2019
NP,2 for 5 ,8/18/2000
NRP,1 for 10 ,2/18/2016
NRZ,1 for 2 ,10/20/2014
NSPR,1 for 50 ,4/1/2019
NTN,1 for 50 ,6/17/2016
NTWK,1 for 10 ,8/13/2012
NTZ,1 for 5 ,2/21/2019
NUGT,1 for 4 ,5/1/2017
NURO,1 for 10 ,11/19/2019
NVAX,1 for 20 ,5/10/2019
NVEC,1 for 5 ,12/6/2000
NVFY,1 for 5 ,12/23/2019
NVIV,1 for 30 ,2/12/2020
NVUS,1 for 9 ,5/11/2017
NWBO,1 for 16 ,9/26/2012
NXTD,1 for 10 ,9/12/2016
OBAS,1 for 5 ,9/27/2012
OBLN,1 for 10 ,7/25/2019
OGEN,1 for 10 ,1/22/2018
OIH,1 for 20 ,4/15/2020
OMEX,1 for 12 ,2/22/2016
ONCS,1 for 10 ,5/21/2019
ONCY,10 for 95 ,5/25/2018
ONTX,1 for 15 ,9/26/2018
OPGN,1 for 20 ,8/29/2019
OPHC,1 for 10 ,1/12/2016
OPTT,1 for 20 ,3/12/2019
ORBT,1 for 3 ,10/4/1999
OSG,1 for 6 ,6/13/2016
OSN,1 for 3 ,8/22/2016
PACD,1 for 10000 ,11/19/2018
PAGP,375 for 1000 ,11/16/2016
PBIP,944 for 1000 ,10/10/2013
PBW,1 for 5 ,10/23/2017
PCN,1 for 3 ,7/24/2000
